"","AUH","AX0","BE3","BJ7","C1C","C3Z","CPF","DQ1","E5E","FCQ","FRM","FZH","HDU","HFX","J7V","JAQ","JAU","JC9","JYJ","K4M","KJE","KVG","MAA","MKC","P1A","PFE","QDP","QXJ","R5E","RBF","RTM","RX9","SA9","SAH","SCN","T5X","T8A","TS8","TUH","U1J","U3A","U5Q","U7Y","VR3","WAY","WN8","WPU","WQV","X3T","Y34","Y3K","YHT","YMS","Z5Y","Z6Z","ZST","W01","TSK","QXR","HM5","E5B","HYX","K95","F97","TGP"
"J7V",3,2,3,2,3,3,2,3,1,2,2,4,2,2,0,3,3,1,3,1,4,3,2,2,1,3,2,3,2,3,2,1,2,2,2,2,2,2,4,2,2,2,0,2,3,3,1,2,3,3,2,2,2,2,2,3,2,3,3,2,2,2,2,3,3
"JAQ",2,0,2,1,0,0,0,0,1,1,1,1,1,1,3,0,2,1,2,2,1,0,1,1,1,1,1,0,1,2,1,2,1,2,1,1,1,1,1,1,3,1,2,3,0,2,2,1,0,1,1,1,1,3,1,0,0,0,1,1,1,2,1,2,2
"JAU",2,2,2,2,1,2,1,2,1,3,2,1,2,3,3,2,0,2,2,4,1,2,2,2,3,1,3,2,3,2,3,2,3,2,2,3,3,2,1,1,1,2,2,1,1,2,1,3,1,1,3,2,3,1,2,2,2,2,1,3,3,0,2,2,0
"JC9",1,0,1,0,1,1,0,1,1,0,0,2,0,0,1,1,2,0,1,1,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,2,1,1,0,0,1,1,1,0,0,1,1,0,0,0,3,0,1,1,1,2,0,2,2,0,1,2
"JYJ",0,1,0,0,1,2,0,2,3,1,0,1,0,1,3,2,2,1,0,2,1,2,0,0,1,0,1,2,1,0,1,2,1,0,0,1,1,0,1,3,1,0,2,1,1,0,1,1,1,0,1,0,1,3,0,2,2,2,1,1,3,2,0,0,2
"K4M",2,1,2,1,2,2,1,2,2,1,1,3,1,1,1,2,4,1,2,0,3,2,1,1,0,2,1,2,1,2,1,2,1,1,1,1,1,1,3,3,3,1,1,3,2,2,2,1,2,2,1,1,1,3,1,2,1,2,2,1,1,3,1,2,4
"KJE",1,1,1,1,0,1,0,1,2,2,1,0,1,2,4,1,1,2,1,3,0,1,1,1,2,0,2,1,2,1,2,3,2,1,1,2,2,1,0,2,2,1,3,2,0,1,2,2,0,0,2,1,2,2,1,1,1,1,0,2,2,1,1,1,1
"KVG",2,0,2,1,0,0,0,0,1,1,1,1,1,1,3,0,2,1,2,2,1,0,1,1,1,1,1,0,1,2,1,2,1,2,1,1,1,1,1,1,3,1,2,3,0,2,2,1,0,1,1,1,1,3,1,0,0,0,1,1,1,2,1,2,2
"MAA",0,0,0,0,1,1,0,1,2,0,0,1,0,0,2,1,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,1,0,1,1,1,0,1,0,1,0,0,0,0,3,0,1,1,1,1,0,2,2,0,0,2
"MKC",0,0,0,0,1,1,0,1,2,0,0,1,0,0,2,1,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,1,0,1,1,1,0,1,0,1,0,0,0,0,3,0,1,1,1,1,0,2,2,0,0,2
"P1A",1,0,1,0,1,1,0,1,2,0,0,2,0,0,1,1,3,0,1,0,2,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,2,2,2,0,1,2,1,1,1,0,1,1,0,0,0,3,0,1,1,1,2,0,1,3,0,1,3
"PFE",0,1,0,0,0,1,0,1,2,1,0,0,0,1,3,1,1,1,0,2,0,1,0,0,1,0,1,1,1,0,1,2,1,0,0,1,1,0,0,2,1,0,2,1,0,0,1,1,0,0,1,0,1,2,0,1,1,1,0,1,2,1,0,0,1
"QDP",1,0,1,0,1,1,0,1,2,0,0,2,0,0,2,1,3,0,1,1,2,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,2,2,2,0,1,2,1,1,1,0,1,1,0,0,0,4,0,1,1,1,2,0,2,3,0,1,3
"QXJ",2,0,2,1,0,0,0,0,1,1,1,1,1,1,3,0,2,1,2,2,1,0,1,1,1,1,1,0,1,2,1,2,1,2,1,1,1,1,1,1,3,1,2,3,0,2,2,1,0,1,1,1,1,3,1,0,0,0,1,1,1,2,1,2,2
"R5E",1,0,1,0,1,1,0,1,2,0,0,2,0,0,2,1,3,0,1,1,2,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,2,2,2,0,1,2,1,1,1,0,1,1,0,0,0,4,0,1,1,1,2,0,2,3,0,1,3
"RBF",0,1,0,0,1,2,0,2,3,1,0,1,0,1,3,2,2,1,0,2,1,2,0,0,1,0,1,2,1,0,1,2,1,0,0,1,1,0,1,3,1,0,2,1,1,0,1,1,1,0,1,0,1,3,0,2,2,2,1,1,3,2,0,0,2
"RTM",1,0,1,0,1,1,0,1,2,0,0,2,0,0,2,1,3,0,1,1,2,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,2,2,2,0,1,2,1,1,1,0,1,1,0,0,0,4,0,1,1,1,2,0,2,3,0,1,3
"RX9",2,1,2,1,2,2,1,2,1,1,1,3,1,1,1,2,2,0,2,2,3,2,1,1,1,2,1,2,1,2,1,0,1,2,1,1,1,1,3,1,1,1,0,1,2,2,0,1,2,2,1,1,1,3,1,2,2,2,3,1,3,2,1,2,2
"SA9",1,0,1,0,1,1,0,1,2,0,0,2,0,0,2,1,3,0,1,1,2,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,2,2,2,0,1,2,1,1,1,0,1,1,0,0,0,4,0,1,1,1,2,0,2,3,0,1,3
"SAH",0,1,0,0,1,2,0,2,3,1,0,1,0,1,2,2,2,1,0,1,1,2,0,0,1,0,1,2,1,0,1,2,1,0,0,1,1,0,1,3,1,0,2,1,1,0,1,1,1,0,1,0,1,2,0,2,2,2,1,1,2,2,0,0,2
"SCN",0,0,0,0,1,1,0,1,2,0,0,1,0,0,2,1,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,1,0,1,1,1,0,1,0,1,0,0,0,0,3,0,1,1,1,1,0,2,2,0,0,2
"T5X",1,0,1,0,1,1,0,1,2,0,0,2,0,0,2,1,3,0,1,1,2,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,2,2,2,0,1,2,1,1,1,0,1,1,0,0,0,4,0,1,1,1,2,0,2,3,0,1,3
"T8A",1,0,1,0,1,1,0,1,2,0,0,2,0,0,2,1,3,0,1,1,2,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,2,2,2,0,1,2,1,1,1,0,1,1,0,0,0,4,0,1,1,1,2,0,2,3,0,1,3
"TS8",0,0,0,0,1,1,0,1,2,0,0,1,0,0,2,1,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,1,0,1,1,1,0,1,0,1,0,0,0,0,3,0,1,1,1,1,0,2,2,0,0,2
"TUH",1,1,1,1,0,1,0,1,2,2,1,0,1,2,4,1,1,2,1,3,0,1,1,1,2,0,2,1,2,1,2,3,2,1,1,2,2,1,0,2,2,1,3,2,0,1,2,2,0,0,2,1,2,2,1,1,1,1,0,2,2,1,1,1,1
"U1J",3,1,3,2,1,1,1,1,0,2,2,2,2,2,2,1,1,1,3,3,2,1,2,2,2,2,2,1,2,3,2,1,2,3,2,2,2,2,2,0,2,2,1,2,1,3,1,2,1,2,2,2,2,2,2,1,1,1,2,2,2,1,2,3,1
"U3A",1,2,1,1,2,3,1,3,2,2,1,2,1,2,2,3,1,1,1,3,2,3,1,1,2,1,2,3,2,1,2,1,2,1,1,2,2,1,2,2,0,1,1,0,2,1,0,2,2,1,2,1,2,2,1,3,3,3,2,2,4,1,1,1,1
"U5Q",0,0,0,0,1,1,0,1,2,0,0,1,0,0,2,1,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,1,0,1,1,1,0,1,0,1,0,0,0,0,3,0,1,1,1,1,0,2,2,0,0,2
"U7Y",2,1,2,1,2,2,1,2,1,1,1,3,1,1,0,2,2,0,2,1,3,2,1,1,1,2,1,2,1,2,1,0,1,2,1,1,1,1,3,1,1,1,0,1,2,2,0,1,2,2,1,1,1,2,1,2,2,2,3,1,2,2,1,2,2
"VR3",1,2,1,1,2,3,1,3,2,2,1,2,1,2,2,3,1,1,1,3,2,3,1,1,2,1,2,3,2,1,2,1,2,1,1,2,2,1,2,2,0,1,1,0,2,1,0,2,2,1,2,1,2,2,1,3,3,3,2,2,4,1,1,1,1
"WAY",1,0,1,1,0,0,0,0,1,1,1,0,1,1,3,0,1,1,1,2,0,0,1,1,1,0,1,0,1,1,1,2,1,1,1,1,1,1,0,1,2,1,2,2,0,1,2,1,0,0,1,1,1,2,1,0,0,0,0,1,1,1,1,1,1
"WN8",0,1,0,0,1,2,0,2,3,1,0,1,0,1,3,2,2,1,0,2,1,2,0,0,1,0,1,2,1,0,1,2,1,0,0,1,1,0,1,3,1,0,2,1,1,0,1,1,1,0,1,0,1,3,0,2,2,2,1,1,3,2,0,0,2
"WPU",1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,0,1,2,2,2,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,2,1,0,1,0,0,2,1,0,1,2,1,1,1,1,2,1,2,2,2,2,1,3,1,1,1,1
"WQV",1,0,1,0,1,1,0,1,2,0,0,2,0,0,2,1,3,0,1,1,2,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,2,2,2,0,1,2,1,1,1,0,1,1,0,0,0,4,0,1,1,1,2,0,2,3,0,1,3
"X3T",1,0,1,1,0,0,0,0,1,1,1,0,1,1,3,0,1,1,1,2,0,0,1,1,1,0,1,0,1,1,1,2,1,1,1,1,1,1,0,1,2,1,2,2,0,1,2,1,0,0,1,1,1,2,1,0,0,0,0,1,1,1,1,1,1
"Y34",0,1,0,0,0,1,0,1,2,1,0,0,0,1,3,1,1,1,0,2,0,1,0,0,1,0,1,1,1,0,1,2,1,0,0,1,1,0,0,2,1,0,2,1,0,0,1,1,0,0,1,0,1,2,0,1,1,1,0,1,2,1,0,0,1
"Y3K",1,0,1,0,1,1,0,1,2,0,0,2,0,0,2,1,3,0,1,1,2,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,2,2,2,0,1,2,1,1,1,0,1,1,0,0,0,4,0,1,1,1,2,0,2,3,0,1,3
"YHT",0,0,0,0,1,1,0,1,2,0,0,1,0,0,2,1,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,1,0,1,1,1,0,1,0,1,0,0,0,0,3,0,1,1,1,1,0,2,2,0,0,2
"YMS",1,0,1,0,1,1,0,1,2,0,0,2,0,0,2,1,3,0,1,1,2,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,2,2,2,0,1,2,1,1,1,0,1,1,0,0,0,4,0,1,1,1,2,0,2,3,0,1,3
"Z5Y",3,3,3,3,2,3,2,3,1,4,3,2,3,4,2,3,1,3,3,3,2,3,3,3,3,2,4,3,4,3,4,3,4,2,3,4,4,3,2,2,2,3,2,2,2,3,2,4,2,2,4,3,4,0,3,3,2,3,1,4,2,0,3,3,1
"Z6Z",0,0,0,0,1,1,0,1,2,0,0,1,0,0,2,1,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,1,0,1,1,1,0,1,0,1,0,0,0,0,3,0,1,1,1,1,0,2,2,0,0,2
"ZST",2,0,2,1,0,0,0,0,1,1,1,1,1,1,3,0,2,1,2,2,1,0,1,1,1,1,1,0,1,2,1,2,1,2,1,1,1,1,1,1,3,1,2,3,0,2,2,1,0,1,1,1,1,3,1,0,0,0,1,1,1,2,1,2,2
"W01",2,0,2,1,0,0,0,0,1,1,1,1,1,1,2,0,2,1,2,1,1,0,1,1,1,1,1,0,1,2,1,2,1,2,1,1,1,1,1,1,3,1,2,3,0,2,2,1,0,1,1,1,1,2,1,0,0,0,1,1,0,2,1,2,2
"TSK",2,0,2,1,0,0,0,0,1,1,1,1,1,1,3,0,2,1,2,2,1,0,1,1,1,1,1,0,1,2,1,2,1,2,1,1,1,1,1,1,3,1,2,3,0,2,2,1,0,1,1,1,1,3,1,0,0,0,1,1,1,2,1,2,2
"QXR",1,1,1,1,0,1,0,1,2,2,1,0,1,2,3,1,1,2,1,2,0,1,1,1,2,0,2,1,2,1,2,3,2,1,1,2,2,1,0,2,2,1,3,2,0,1,2,2,0,0,2,1,2,1,1,1,1,1,0,2,1,1,1,1,1
"HM5",1,0,1,0,1,1,0,1,2,0,0,2,0,0,2,1,3,0,1,1,2,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,2,2,2,0,1,2,1,1,1,0,1,1,0,0,0,4,0,1,1,1,2,0,2,3,0,1,3
"E5B",3,1,3,2,1,1,1,1,1,2,2,2,2,2,2,1,3,2,3,1,2,1,2,2,1,2,2,1,2,3,2,3,2,2,2,2,2,2,2,2,4,2,2,4,1,3,3,2,1,2,2,2,2,2,2,1,0,1,1,2,0,2,2,3,3
"HYX",2,2,2,2,1,2,1,2,1,3,2,1,2,3,2,2,0,2,2,3,1,2,2,2,3,1,3,2,3,2,3,2,3,2,2,3,3,2,1,1,1,2,2,1,1,2,1,3,1,1,3,2,3,0,2,2,2,2,1,3,2,0,2,2,0
"K95",0,0,0,0,1,1,0,1,2,0,0,1,0,0,2,1,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,1,0,1,1,1,0,1,0,1,0,0,0,0,3,0,1,1,1,1,0,2,2,0,0,2
"F97",0,1,0,0,1,2,0,2,3,1,0,1,0,1,3,2,2,1,0,2,1,2,0,0,1,0,1,2,1,0,1,2,1,0,0,1,1,0,1,3,1,0,2,1,1,0,1,1,1,0,1,0,1,3,0,2,2,2,1,1,3,2,0,0,2
"TGP",2,2,2,2,1,2,1,2,1,3,2,1,2,3,3,2,0,2,2,4,1,2,2,2,3,1,3,2,3,2,3,2,3,2,2,3,3,2,1,1,1,2,2,1,1,2,1,3,1,1,3,2,3,1,2,2,2,2,1,3,3,0,2,2,0
