"","AUH","AX0","BE3","BJ7","C1C","C3Z","CPF","DQ1","E5E","FCQ","FRM","FZH","HDU","HFX","J7V","JAQ","JAU","JC9","JYJ","K4M","KJE","KVG","MAA","MKC","P1A","PFE","QDP","QXJ","R5E","RBF","RTM","RX9","SA9","SAH","SCN","T5X","T8A","TS8","TUH","U1J","U3A","U5Q","U7Y","VR3","WAY","WN8","WPU","WQV","X3T","Y34","Y3K","YHT","YMS","Z5Y","Z6Z","ZST","W01","TSK","QXR","HM5","E5B","HYX","K95","F97","TGP"
"K4M",22,4,10,24,20,24,21,19,0,1,21,23,24,22,8,22,20,23,21,0,1,1,23,22,17,18,14,2,22,23,14,1,24,5,21,20,22,21,1,19,19,19,22,21,13,1,13,4,3,20,21,21,15,1,18,3,15,24,13,17,10,14,19,17,7
"KJE",21,5,11,23,19,23,20,18,1,2,20,22,23,21,7,21,19,22,20,1,0,0,22,21,16,17,15,3,21,22,13,0,23,4,20,19,21,20,0,18,18,18,21,20,12,2,12,5,2,19,20,20,14,2,17,4,14,23,12,16,9,13,18,16,8
"KVG",21,5,11,23,19,23,20,18,1,2,20,22,23,21,7,21,19,22,20,1,0,0,22,21,16,17,15,3,21,22,13,0,23,4,20,19,21,20,0,18,18,18,21,20,12,2,12,5,2,19,20,20,14,2,17,4,14,23,12,16,9,13,18,16,8
"MAA",1,27,33,1,3,1,2,4,23,24,2,0,1,1,15,1,3,0,2,23,22,22,0,1,6,5,37,25,1,0,9,22,1,18,2,3,1,2,22,4,4,4,1,2,10,24,10,27,20,3,2,2,8,24,5,26,8,1,10,6,13,9,4,6,30
"MKC",0,26,32,2,2,2,1,3,22,23,1,1,2,0,14,0,2,1,1,22,21,21,1,0,5,4,36,24,0,1,8,21,2,17,1,2,0,1,21,3,3,3,0,1,9,23,9,26,19,2,1,1,7,23,4,25,7,2,9,5,12,8,3,5,29
"P1A",5,21,27,7,3,7,4,2,17,18,4,6,7,5,9,5,3,6,4,17,16,16,6,5,0,1,31,19,5,6,3,16,7,12,4,3,5,4,16,2,2,2,5,4,4,18,4,21,14,3,4,4,2,18,1,20,2,7,4,0,7,3,2,0,24
"PFE",4,22,28,6,2,6,3,1,18,19,3,5,6,4,10,4,2,5,3,18,17,17,5,4,1,0,32,20,4,5,4,17,6,13,3,2,4,3,17,1,1,1,4,3,5,19,5,22,15,2,3,3,3,19,0,21,3,6,5,1,8,4,1,1,25
"QDP",36,10,4,38,34,38,35,33,14,13,35,37,38,36,22,36,34,37,35,14,15,15,37,36,31,32,0,12,36,37,28,15,38,19,35,34,36,35,15,33,33,33,36,35,27,13,27,10,17,34,35,35,29,13,32,11,29,38,27,31,24,28,33,31,7
"QXJ",24,2,8,26,22,26,23,21,2,1,23,25,26,24,10,24,22,25,23,2,3,3,25,24,19,20,12,0,24,25,16,3,26,7,23,22,24,23,3,21,21,21,24,23,15,1,15,2,5,22,23,23,17,1,20,1,17,26,15,19,12,16,21,19,5
"R5E",0,26,32,2,2,2,1,3,22,23,1,1,2,0,14,0,2,1,1,22,21,21,1,0,5,4,36,24,0,1,8,21,2,17,1,2,0,1,21,3,3,3,0,1,9,23,9,26,19,2,1,1,7,23,4,25,7,2,9,5,12,8,3,5,29
"RBF",1,27,33,1,3,1,2,4,23,24,2,0,1,1,15,1,3,0,2,23,22,22,0,1,6,5,37,25,1,0,9,22,1,18,2,3,1,2,22,4,4,4,1,2,10,24,10,27,20,3,2,2,8,24,5,26,8,1,10,6,13,9,4,6,30
"RTM",8,18,24,10,6,10,7,5,14,15,7,9,10,8,6,8,6,9,7,14,13,13,9,8,3,4,28,16,8,9,0,13,10,9,7,6,8,7,13,5,5,5,8,7,1,15,1,18,11,6,7,7,1,15,4,17,1,10,1,3,4,0,5,3,21
"RX9",21,5,11,23,19,23,20,18,1,2,20,22,23,21,7,21,19,22,20,1,0,0,22,21,16,17,15,3,21,22,13,0,23,4,20,19,21,20,0,18,18,18,21,20,12,2,12,5,2,19,20,20,14,2,17,4,14,23,12,16,9,13,18,16,8
"SA9",2,28,34,0,4,0,3,5,24,25,3,1,0,2,16,2,4,1,3,24,23,23,1,2,7,6,38,26,2,1,10,23,0,19,3,4,2,3,23,5,5,5,2,3,11,25,11,28,21,4,3,3,9,25,6,27,9,0,11,7,14,10,5,7,31
"SAH",17,9,15,19,15,19,16,14,5,6,16,18,19,17,3,17,15,18,16,5,4,4,18,17,12,13,19,7,17,18,9,4,19,0,16,15,17,16,4,14,14,14,17,16,8,6,8,9,2,15,16,16,10,6,13,8,10,19,8,12,5,9,14,12,12
"SCN",1,25,31,3,1,3,0,2,21,22,0,2,3,1,13,1,1,2,0,21,20,20,2,1,4,3,35,23,1,2,7,20,3,16,0,1,1,0,20,2,2,2,1,0,8,22,8,25,18,1,0,0,6,22,3,24,6,3,8,4,11,7,2,4,28
"T5X",2,24,30,4,0,4,1,1,20,21,1,3,4,2,12,2,0,3,1,20,19,19,3,2,3,2,34,22,2,3,6,19,4,15,1,0,2,1,19,1,1,1,2,1,7,21,7,24,17,0,1,1,5,21,2,23,5,4,7,3,10,6,1,3,27
"T8A",0,26,32,2,2,2,1,3,22,23,1,1,2,0,14,0,2,1,1,22,21,21,1,0,5,4,36,24,0,1,8,21,2,17,1,2,0,1,21,3,3,3,0,1,9,23,9,26,19,2,1,1,7,23,4,25,7,2,9,5,12,8,3,5,29
"TS8",1,25,31,3,1,3,0,2,21,22,0,2,3,1,13,1,1,2,0,21,20,20,2,1,4,3,35,23,1,2,7,20,3,16,0,1,1,0,20,2,2,2,1,0,8,22,8,25,18,1,0,0,6,22,3,24,6,3,8,4,11,7,2,4,28
"TUH",21,5,11,23,19,23,20,18,1,2,20,22,23,21,7,21,19,22,20,1,0,0,22,21,16,17,15,3,21,22,13,0,23,4,20,19,21,20,0,18,18,18,21,20,12,2,12,5,2,19,20,20,14,2,17,4,14,23,12,16,9,13,18,16,8
"U1J",3,23,29,5,1,5,2,0,19,20,2,4,5,3,11,3,1,4,2,19,18,18,4,3,2,1,33,21,3,4,5,18,5,14,2,1,3,2,18,0,0,0,3,2,6,20,6,23,16,1,2,2,4,20,1,22,4,5,6,2,9,5,0,2,26
"U3A",3,23,29,5,1,5,2,0,19,20,2,4,5,3,11,3,1,4,2,19,18,18,4,3,2,1,33,21,3,4,5,18,5,14,2,1,3,2,18,0,0,0,3,2,6,20,6,23,16,1,2,2,4,20,1,22,4,5,6,2,9,5,0,2,26
"U5Q",3,23,29,5,1,5,2,0,19,20,2,4,5,3,11,3,1,4,2,19,18,18,4,3,2,1,33,21,3,4,5,18,5,14,2,1,3,2,18,0,0,0,3,2,6,20,6,23,16,1,2,2,4,20,1,22,4,5,6,2,9,5,0,2,26
"U7Y",0,26,32,2,2,2,1,3,22,23,1,1,2,0,14,0,2,1,1,22,21,21,1,0,5,4,36,24,0,1,8,21,2,17,1,2,0,1,21,3,3,3,0,1,9,23,9,26,19,2,1,1,7,23,4,25,7,2,9,5,12,8,3,5,29
"VR3",1,25,31,3,1,3,0,2,21,22,0,2,3,1,13,1,1,2,0,21,20,20,2,1,4,3,35,23,1,2,7,20,3,16,0,1,1,0,20,2,2,2,1,0,8,22,8,25,18,1,0,0,6,22,3,24,6,3,8,4,11,7,2,4,28
"WAY",9,17,23,11,7,11,8,6,13,14,8,10,11,9,5,9,7,10,8,13,12,12,10,9,4,5,27,15,9,10,1,12,11,8,8,7,9,8,12,6,6,6,9,8,0,14,0,17,10,7,8,8,2,14,5,16,2,11,0,4,3,1,6,4,20
"WN8",23,3,9,25,21,25,22,20,1,0,22,24,25,23,9,23,21,24,22,1,2,2,24,23,18,19,13,1,23,24,15,2,25,6,22,21,23,22,2,20,20,20,23,22,14,0,14,3,4,21,22,22,16,0,19,2,16,25,14,18,11,15,20,18,6
"WPU",9,17,23,11,7,11,8,6,13,14,8,10,11,9,5,9,7,10,8,13,12,12,10,9,4,5,27,15,9,10,1,12,11,8,8,7,9,8,12,6,6,6,9,8,0,14,0,17,10,7,8,8,2,14,5,16,2,11,0,4,3,1,6,4,20
"WQV",26,0,6,28,24,28,25,23,4,3,25,27,28,26,12,26,24,27,25,4,5,5,27,26,21,22,10,2,26,27,18,5,28,9,25,24,26,25,5,23,23,23,26,25,17,3,17,0,7,24,25,25,19,3,22,1,19,28,17,21,14,18,23,21,3
"X3T",19,7,13,21,17,21,18,16,3,4,18,20,21,19,5,19,17,20,18,3,2,2,20,19,14,15,17,5,19,20,11,2,21,2,18,17,19,18,2,16,16,16,19,18,10,4,10,7,0,17,18,18,12,4,15,6,12,21,10,14,7,11,16,14,10
"Y34",2,24,30,4,0,4,1,1,20,21,1,3,4,2,12,2,0,3,1,20,19,19,3,2,3,2,34,22,2,3,6,19,4,15,1,0,2,1,19,1,1,1,2,1,7,21,7,24,17,0,1,1,5,21,2,23,5,4,7,3,10,6,1,3,27
"Y3K",1,25,31,3,1,3,0,2,21,22,0,2,3,1,13,1,1,2,0,21,20,20,2,1,4,3,35,23,1,2,7,20,3,16,0,1,1,0,20,2,2,2,1,0,8,22,8,25,18,1,0,0,6,22,3,24,6,3,8,4,11,7,2,4,28
"YHT",1,25,31,3,1,3,0,2,21,22,0,2,3,1,13,1,1,2,0,21,20,20,2,1,4,3,35,23,1,2,7,20,3,16,0,1,1,0,20,2,2,2,1,0,8,22,8,25,18,1,0,0,6,22,3,24,6,3,8,4,11,7,2,4,28
"YMS",7,19,25,9,5,9,6,4,15,16,6,8,9,7,7,7,5,8,6,15,14,14,8,7,2,3,29,17,7,8,1,14,9,10,6,5,7,6,14,4,4,4,7,6,2,16,2,19,12,5,6,6,0,16,3,18,0,9,2,2,5,1,4,2,22
"Z5Y",23,3,9,25,21,25,22,20,1,0,22,24,25,23,9,23,21,24,22,1,2,2,24,23,18,19,13,1,23,24,15,2,25,6,22,21,23,22,2,20,20,20,23,22,14,0,14,3,4,21,22,22,16,0,19,2,16,25,14,18,11,15,20,18,6
"Z6Z",4,22,28,6,2,6,3,1,18,19,3,5,6,4,10,4,2,5,3,18,17,17,5,4,1,0,32,20,4,5,4,17,6,13,3,2,4,3,17,1,1,1,4,3,5,19,5,22,15,2,3,3,3,19,0,21,3,6,5,1,8,4,1,1,25
"ZST",25,1,7,27,23,27,24,22,3,2,24,26,27,25,11,25,23,26,24,3,4,4,26,25,20,21,11,1,25,26,17,4,27,8,24,23,25,24,4,22,22,22,25,24,16,2,16,1,6,23,24,24,18,2,21,0,18,27,16,20,13,17,22,20,4
"W01",7,19,25,9,5,9,6,4,15,16,6,8,9,7,7,7,5,8,6,15,14,14,8,7,2,3,29,17,7,8,1,14,9,10,6,5,7,6,14,4,4,4,7,6,2,16,2,19,12,5,6,6,0,16,3,18,0,9,2,2,5,1,4,2,22
"TSK",2,28,34,0,4,0,3,5,24,25,3,1,0,2,16,2,4,1,3,24,23,23,1,2,7,6,38,26,2,1,10,23,0,19,3,4,2,3,23,5,5,5,2,3,11,25,11,28,21,4,3,3,9,25,6,27,9,0,11,7,14,10,5,7,31
"QXR",9,17,23,11,7,11,8,6,13,14,8,10,11,9,5,9,7,10,8,13,12,12,10,9,4,5,27,15,9,10,1,12,11,8,8,7,9,8,12,6,6,6,9,8,0,14,0,17,10,7,8,8,2,14,5,16,2,11,0,4,3,1,6,4,20
"HM5",5,21,27,7,3,7,4,2,17,18,4,6,7,5,9,5,3,6,4,17,16,16,6,5,0,1,31,19,5,6,3,16,7,12,4,3,5,4,16,2,2,2,5,4,4,18,4,21,14,3,4,4,2,18,1,20,2,7,4,0,7,3,2,0,24
"E5B",12,14,20,14,10,14,11,9,10,11,11,13,14,12,2,12,10,13,11,10,9,9,13,12,7,8,24,12,12,13,4,9,14,5,11,10,12,11,9,9,9,9,12,11,3,11,3,14,7,10,11,11,5,11,8,13,5,14,3,7,0,4,9,7,17
"HYX",8,18,24,10,6,10,7,5,14,15,7,9,10,8,6,8,6,9,7,14,13,13,9,8,3,4,28,16,8,9,0,13,10,9,7,6,8,7,13,5,5,5,8,7,1,15,1,18,11,6,7,7,1,15,4,17,1,10,1,3,4,0,5,3,21
"K95",3,23,29,5,1,5,2,0,19,20,2,4,5,3,11,3,1,4,2,19,18,18,4,3,2,1,33,21,3,4,5,18,5,14,2,1,3,2,18,0,0,0,3,2,6,20,6,23,16,1,2,2,4,20,1,22,4,5,6,2,9,5,0,2,26
"F97",5,21,27,7,3,7,4,2,17,18,4,6,7,5,9,5,3,6,4,17,16,16,6,5,0,1,31,19,5,6,3,16,7,12,4,3,5,4,16,2,2,2,5,4,4,18,4,21,14,3,4,4,2,18,1,20,2,7,4,0,7,3,2,0,24
"TGP",29,3,3,31,27,31,28,26,7,6,28,30,31,29,15,29,27,30,28,7,8,8,30,29,24,25,7,5,29,30,21,8,31,12,28,27,29,28,8,26,26,26,29,28,20,6,20,3,10,27,28,28,22,6,25,4,22,31,20,24,17,21,26,24,0
