"","AUH","AX0","BE3","BJ7","C1C","C3Z","CPF","DQ1","E5E","FCQ","FRM","FZH","HDU","HFX","J7V","JAQ","JAU","JC9","JYJ","K4M","KJE","KVG","MAA","MKC","P1A","PFE","QDP","QXJ","R5E","RBF","RTM","RX9","SA9","SAH","SCN","T5X","T8A","TS8","TUH","U1J","U3A","U5Q","U7Y","VR3","WAY","WN8","WPU","WQV","X3T","Y34","Y3K","YHT","YMS","Z5Y","Z6Z","ZST","W01","TSK","QXR","HM5","E5B","HYX","K95","F97","TGP"
"FRM",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"FZH",-1,0,-1,-1,1,1,0,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,1
"HDU",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"HFX",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"J7V",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"JAQ",-1,0,-1,-1,1,1,0,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,1
"JAU",-1,0,-1,-1,1,1,0,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,1
"JC9",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"JYJ",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"K4M",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"KJE",-1,0,-1,-1,1,1,0,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,1
"KVG",-1,0,-1,-1,1,1,0,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,1
"MAA",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"MKC",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"P1A",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"PFE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QDP",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"QXJ",-1,0,-1,-1,1,1,0,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,1
"R5E",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"RBF",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"RTM",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"RX9",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"SA9",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"SAH",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"SCN",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"T5X",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"T8A",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"TS8",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"TUH",-1,0,-1,-1,1,1,0,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,1
"U1J",-1,0,-1,-1,1,1,0,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,1
"U3A",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"U5Q",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"U7Y",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"VR3",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"WAY",-1,0,-1,-1,1,1,0,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,1
"WN8",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"WPU",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"WQV",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"X3T",-1,0,-1,-1,1,1,0,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,1
"Y34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y3K",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"YHT",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"YMS",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"Z5Y",-1,0,-1,-1,1,1,0,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,1
"Z6Z",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"ZST",-1,0,-1,-1,1,1,0,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,1
"W01",-1,0,-1,-1,1,1,0,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,1
"TSK",-1,0,-1,-1,1,1,0,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,1
"QXR",-1,0,-1,-1,1,1,0,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,1
"HM5",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"E5B",-1,0,-1,-1,1,1,0,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,1
"HYX",-1,0,-1,-1,1,1,0,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,1
"K95",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"F97",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"TGP",-1,0,-1,-1,1,1,0,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,1
